Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Penny Black,+971 43414254,,,"Mall of the Emirates, Level G, Store 214,, Al a First",Sheikh Zayed Road,Dubai,UAE,"Penny Black Inc. Rubber Stamps, Rubber Stamp Sets, Stickers, Slapstick Cling, Background Papers, Card and Scrapbooking Ideas",http://www.pennyblackinc.com,,672,https://uae.arablocal.com/business/view/penny-black,,,,,
Ubuy UAE,+971 44532620,,ubuy.ae.en@gmail.com,"Ubuy Co, Office 19 Decent Business Center Est",Airport Free Zone,Dubai,UAE,"Ubuy UAE is not your usual e-commerce website, we provide our customers with access to an excellent variety of products. Today’s shoppers want more in a shorter time period, and let's not forget the easy purchase methods an180 countries around the world to provide its shoppers with access to product categories that keeps them coming back.",http://www.ubuy.ae/en/,,1158,https://uae.arablocal.com/business/view/ubuy-uae,https://www.facebook.com/UbuyUAE/,https://www.instagram.com/ubuyUAE/,https://www.linkedin.com/company/ubuy-com-kw,https://twitter.com/UbuyUAE,https://www.youtube.com/channel/UCY9Yktt9fpqxWi5pl8tGe4Q
Al Ghadeer Pure Drinking Water,+971 37211353,,,"Leetag, Sanaiya, Al Ain",Sanaiya,Abu Dhabi,UAE,"Al Ghadeer is a pure bottled water company based in Al Ain, the land known for its fertile oasis. Our company is licensed fromthe General Industry Organization, Abu Dhabi and has obtained a commercial manufacturing license since 1999. We have aproduct line which includes five-gallon,125ml, 200ml and 200ml bottles. The factory is equipped with state of the art technology to monitor and test water quality in all phases of production.d test water quality in all phases of production.",http://www.alghadeerwater.com/,,659,https://uae.arablocal.com/business/view/al-ghadeer-pure-drinking-water,https://www.facebook.com/alghadeerwater/,,,,
Decolab Llc,+971 48801183,,,Box No. 42860,Dubai Others,Dubai,UAE,"DECOLAB LLC is located in Dubai, UAE. Company is working in General Office Services, Office Furniture, Wooden Products business activities. Visit our company website for more information about us : http://www.decolabgroup.com",http://www.decolabgroup.com,,654,https://uae.arablocal.com/business/view/decolab--llc,,,,,
Raoul,+971 43410282,,,"Mall of the Emirates, Level G, Store 209,, Al a First",Sheikh Zayed Road,Dubai,UAE,"RAOUL : - Women raoul, raoul shirts, shirts, singapore fashion, fj benjamin, foreign policy design group, audi fashion festival, singapore biennale, new york fashion week, paris fashion week, tom scott, Haidee Findlay-Levin, elle macpherson, brill clutch",http://www.raoul.com,,648,https://uae.arablocal.com/business/view/raoul,,,,,
Yaco Trading Est,+971 42820505,,,"Yateem Group building, P.O. Box: 50571",Al Garhoud,Dubai,UAE,"YACO TRADING EST. is located in Dubai, UAE. Company is working in Opticians, Clothing and Accessories business activities. Visit our company website for more information about us : http://www.yateemgroup.com If you have any questions, please contact us",http://www.yateemgroup.com,,647,https://uae.arablocal.com/business/view/yaco-trading-est,,,,,
Floorworld Llc,+971 48895661,,,"Complex # 61, Warehouse 19 & 56 Jabel Ali Industrial Area 2",Jebel Ali Industrial Area # 2,Dubai,UAE,"At Floorworld we offer a huge range of Laminate Flooring, Engineered Wood Flooring, Parquet Flooring with beautiful finishes such as Oak, Walnut, Maple, Mahogany etc from the two largest and most respected manufacturers in Europe and Indeed the World, Quickstep from Belgium and Gerbur From Germany. Our ranges include many of the world's most beautiful species from most exciting parts of the globe, all taken from environmentally friendly forests with plentiful and renewable resources.",http://www.floorworld.com/,,641,https://uae.arablocal.com/business/view/floorworld--llc,,,,,
Multi Force International,+971 6217788,,,333,Abu Dhabi City,Abu Dhabi,UAE,"MULTI FORCE INTERNATIONAL is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories, Electrical Goods business activities. Visit our company website for more information about us : http://www.iccgulf.com If you have any questions, please contact us",http://www.iccgulf.com,,617,https://uae.arablocal.com/business/view/multi-force-international,,,,,
Life Fitness Trading,+971 42116666,,,Box No. 11245,Dubai Others,Dubai,UAE,"LIFE FITNESS TRADING is located in Dubai, UAE. Company is working in Sports, Fitness Equipment, Clothing and Accessories, Sportswear business activities. Visit our company website for more information about us : http://www.alphamedgroup.com",http://www.alphamedgroup.com,,611,https://uae.arablocal.com/business/view/life-fitness-trading,,,,,
Greenline Yacht Interiors Fzco,+971 8862244,,,Box No. 262566,Jebel Ali Freezone,Dubai,UAE,"GREENLINE YACHT INTERIORS FZCO is located in Jebel Ali Free Zone, UAE. Company is working in General Office Services, Office Furniture, Furniture, Wooden Products business activities. Visit our company website for more information about us : http://WWW.GREENLINEYACHINTERIORS.AE",http://WWW.GREENLINEYACHINTERIORS.AE,,601,https://uae.arablocal.com/business/view/greenline-yacht-interiors-fzco,,,,,
Belco Plus Interior Factory LLC,+971 3201505,,,Box No. 36739,Al Quoz industrail Area 4,Dubai,UAE,"BELCO PLUS INTERIOR FACTORY LLC is located in Dubai, UAE. Company is working in Furniture, Wooden Products business activities.",http://www.bestintownservices.ae,,598,https://uae.arablocal.com/business/view/belco-plus-interior-factory-llc,,,,,
Paper Bag Manufacturers In Dbagubai,+971 565569172,,,"Obaid Essa Ahmed Warehouse Shed No B 10, Industrial Area No 4, Sharjah, UAE",Sharjah City,Sharjah,UAE,Bony Packaging provides an ideal packaging solution to every customer’s requirement and offers them with supreme quality eco-friendly products. Enquire Now!https://www.bonypackaging.com/product_categories/kraft-paper-bag/,http://www.bonypackaging.com/,,595,https://uae.arablocal.com/business/view/paper-bag-manufacturers-in-dbagubai,,,,,
Al Sadqi Technical Services LLC,+971 2844477,,,Box No. 111429,Dubai Others,Dubai,UAE,"AL SADQI TECHNICAL SERVICES LLC is located in Dubai, UAE. Company is working in Carpentry & Flooring, Contractors, Decoration Materials & Partitions business activities. Visit our company website for more information about us : http://www.sanmarcodubai.com",http://www.sanmarcodubai.com,,584,https://uae.arablocal.com/business/view/al-sadqi-technical-services--llc,,,,,
Mansour Sheib Kamali Trading Llc,+971 2580536,,,Box No. 60385,Dubai Others,Dubai,UAE,"MANSOUR SHEIB KAMALI TRADING LLC is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery business activities. Visit our company website for more information about us : http://www.mskgroup.ae If you have any questions, please contact us",http://www.mskgroup.ae,,583,https://uae.arablocal.com/business/view/mansour-sheib-kamali-trading-llc,,,,,
Noor Alabraj Trading Llc,+971 42290353,,,Box No. 3843,Dubai Others,Dubai,UAE,"NOOR ALABRAJ TRADING LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes business activities. Visit our company website for more information about us : http://www.younglifeworld.com If you have any questions, please contact us",http://www.younglifeworld.com,,577,https://uae.arablocal.com/business/view/noor-alabraj-trading-llc,,,,,
Mayloz,+971 526632562,,,"401-AL Halooshe Building, Above Bank, Nr. Malabar Jewellery, Gold Souq.",Deira,Dubai,UAE,"Mayloz is a premium online megastore with a wide variety of products from best of the Brands. Mayloz offers an exclusive selection of women & men fashion, jewelry, kids, Women and Men Clothing. We have access to everything on the current market. We bring together the best of products from the Indian subcontinent to across the world. We consistently strive to add value to all these categories, to cater to the customer base around the world. A superior and reliable online platform offering the ...",http://www.mayloz.com,,574,https://uae.arablocal.com/business/view/mayloz,,,,,
SAHARA UNIFORMS | Uniform Manufacturers In Ajman,+971 504078552,,saharauniforms@odic.in,"New Industrial Area, Ajman, UAE",Ajman Industrial Area,Ajman,UAE,"Sahara Uniform is a leading uniform manufacturer in Ajman and a trusted name among UAE uniform manufacturers. As a top uniform store in Ajman, we offer quality ready-made uniforms in Ajman and specialize in customized uniform manufacturing for diverse industries. Our reputation as a customized uniform manufacturing company in UAE reflects our dedication to high standards, making us a preferred choice for quality ready-made uniform manufacturers in Ajman.Our expertise extends to being corporat...",http://saharauniforms.ae,,573,https://uae.arablocal.com/business/view/sahara-uniforms--uniform-manufacturers-in-ajman,https://www.facebook.com/saharauniforms/,https://www.instagram.com/saharauniforms.ae/,,,https://www.youtube.com/@saharaembroidery3407
Dolson Interiors Trading LLC,+971 582101341,,dolsonmarketings@gmail.com,"Post office road, Near amiruddin clinic",Har Al Anz east,Dubai,UAE,"We are here to convert your homes into sweet home and your office or workspace into best business Centre. We are providing Curtains, blinds, wallpapers, carpets and interior furnishings, from more than 17 years. We have succeeded in creating happy customers between the geographical boundaries of UAE. We will always provide quality and assured services for all our customers, by providing their choices under one roof. We target ourselves to accomplish and uphold the best standards and best prac...",http://www.dolsoninteriortrading.com/,,565,https://uae.arablocal.com/business/view/dolson-interiors-trading-llc,https://www.facebook.com/Dolson-interiors-trading-llc-110442907791816/,https://www.instagram.com/invites/contact/?i=1arlm3sla40b4&utm_content=livdlg2,https://www.linkedin.com/company/dolosn-interiors-trading-llc,https://twitter.com/dolsondubai,https://www.youtube.com/channel/UCpFyj26hi4HTQLXNLN95VvA/about
Excel Enterprises Llc,,,,"1, Sheikh Zayed Road, The H Office Tower, Level 21, P.O. Box 121",Sheikh Zayed Road,Dubai,UAE,"From its headquarters in Dubai, the Group has swiftly established its reputation as one of the largest importers, distributors and retailers of luxury products with over 400 stores in the region The Group also manages travel retail in leading airports and on-board airlines. Critical to the success of the Group is an outstanding team of over 1800 professionals driven to deliver a remarkable customer experience With a diverse range of international brands, distinctive stores and exceptional ser...",http://www.rivoligroup.com,,550,https://uae.arablocal.com/business/view/excel-enterprises--llc,,,,,
Marmi Di Carrara,+971 43470244,,,3rd Interchange,Al Quoz,Dubai,UAE,"MARMI DI CARRARA lavorazione e produzione blocchi e lastre di marmo bianco, statuario, venato, travertino, onice, pietre, quarzo, arredo, rivestimenti interni e desterni, pavimenti, bagni, scale, colonne, lavandino, cucina, arabescato",http://www.marmidicarrara.com,,539,https://uae.arablocal.com/business/view/marmi-di-carrara,,,,,
Curtains Financial Center Dubai,+971 554722980,,,Financial Centre Road - - United Arab Emirates,Abu Dhabi City,Abu Dhabi,UAE,"we have ultimate solutions for home decor, curtains, rugs, bedsheets, cushions, blinds and all kind of soft furnishings in Dubai, UAE",http://curtains-dubai.ae/,,539,https://uae.arablocal.com/business/view/curtains-financial-center-dubai,,,,,
Fat Face,+971 43416032,,,"Mall of the Emirates, Level G, Store 132,Sheikh Zayed Road, Al Barshaa First",Sheikh Zayed Road,Dubai,UAE,Fat Face is the leading designer of clothing and accessories perfect for an active lifestyle. Get kitted out today and shop in our online store.,http://www.fatface.com,,536,https://uae.arablocal.com/business/view/fat-face,,,,,
Hi Tec Interiors Llc,+971 3364666,,,Box No. 48834,Dubai Others,Dubai,UAE,"HI TEC INTERIORS ( L.L.C) is located in Dubai, UAE. Company is working in Carpentry & Flooring, Contractors business activities. Visit our company website for more information about us : http://www.alreyamigroup.ae",http://www.alreyamigroup.ae,,533,https://uae.arablocal.com/business/view/hi-tec-interiors--llc,,,,,
Calvin Klein Underwear Mall Of The Emirates,+971 43403448,,,"Mall of the Emirates, Level G, Store 248,Sheikh Zayed Road, Al Barshaa First",Al Aweer,Dubai,UAE,"Calvin Klein Underwear - Mall of the Emirates is located in Dubai, UAE. Company is working in Clothing and Accessories, Boutiques business activities. Visit our company website for more information about us : http://www.calvinklein.com If you have any questions, please contact us",http://www.carparkshadeindubai.page.tl,,531,https://uae.arablocal.com/business/view/calvin-klein-underwear-mall-of-the-emirates,,,,,
Roza Furniture Factory Llc,+971 3472405,,,Box No. 51076,Dubai Others,Dubai,UAE,"ROZA FURNITURE FACTORY LLC is located in Dubai, UAE. Company is working in Furniture, Wooden Products business activities. Visit our company website for more information about us : http://www.rozafurniture.com If you have any questions, please contact us",http://www.rozafurniture.com,,531,https://uae.arablocal.com/business/view/roza-furniture-factory-llc,,,,,
Modern Papers Ind Co LLC,+971 65340442,+971 508557517,,"Ground Floor, Office # 3, Industrial Area 15,",Industrial Area,Sharjah,UAE,Modern Papers Ind Co LLC,http://m.ae108131844.trustpass.alibaba.com/,,531,https://uae.arablocal.com/business/view/modern-papers-ind-co-llc,,,,,
