Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Mokri Est. Trading Contracting,+966 126404062,,,"Sulaimaniyah Dist., Jeddah, Sulaimaniyah Dist., Jeddah, Makkah Province, Saudi Arabia",Sulaimaniyah Dist.,Makkah Province,Saudi Arabia,Al Mokri Est. Trading Contracting,,https://arablocal.com/business/view/al-mokri-est-trading-contracting,,,,,
Al Najya Hotel Apartments,+966 138944430,,,"Cross 10, Prince Majed Bin Abdulaziz Street, Al Khobar, Prince Majed Bin Abdulaziz Street, Al Khobar, Eastern Province, Saudi Arabia",Cross 10,Eastern Province,Saudi Arabia,Al Najya Hotel Apartments,,https://arablocal.com/business/view/al-najya-hotel-apartments,,,,,
Al Thuraya Tower For Hotel Suites,+966 138460656,,,"Al Rowadh Dist., Dammam, Al Rowadh Dist., Dammam, Eastern Province, Saudi Arabia",Al Rowadh Dist.,Eastern Province,Saudi Arabia,Al Thuraya Tower For Hotel Suites,,https://arablocal.com/business/view/al-thuraya-tower-for-hotel-suites,,,,,
Al Yamama Palace Hotel Suites Group,+966 112381616,,,"Al Naseem Dist., Riyadh, Al Naseem Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Naseem Dist.,Riyadh Province,Saudi Arabia,Al Yamama Palace Hotel Suites Group,,https://arablocal.com/business/view/al-yamama-palace-hotel-suites-group,,,,,
Al Saher Furnished Hotel Suites,+966 126777771,,,"Safa Dist., Jeddah, Safa Dist., Jeddah, Makkah Province, Saudi Arabia",Safa Dist.,Makkah Province,Saudi Arabia,Al Saher Furnished Hotel Suites,,https://arablocal.com/business/view/al-saher-furnished-hotel-suites,,,,,
Al Romanciah For Hotel Suites,+966 138895625,,,"Al Thuqbah, Al Khobar, Al Thuqbah, Al Khobar, Eastern Province, Saudi Arabia",Al Thuqbah,Eastern Province,Saudi Arabia,Al Romanciah For Hotel Suites,,https://arablocal.com/business/view/al-romanciah-for-hotel-suites,,,,,
Dyafah Al Saati Ulaya Al Khobar,+966 138956685,,,"Ulaya Dist., Al Khobar, Ulaya Dist., Al Khobar, Eastern Province, Saudi Arabia",Ulaya Dist.,Eastern Province,Saudi Arabia,Dyafah Al Saati Ulaya Al Khobar,,https://arablocal.com/business/view/dyafah-al-saati-ulaya-al-khobar,,,,,
Durat Almalaz Hotel Suites,+966 112917300,,,"Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Malaz Dist.,Riyadh Province,Saudi Arabia,Durat Almalaz Hotel Suites,,https://arablocal.com/business/view/durat-almalaz-hotel-suites,,,,,
Al Sahab For Hotel Suites,+966 138975054,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Al Sahab For Hotel Suites,,https://arablocal.com/business/view/al-sahab-for-hotel-suites,,,,,
Dyafah Al Saati Jawhrah Al Khobar,+966 138975511,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Dyafah Al Saati Jawhrah Al Khobar,,https://arablocal.com/business/view/dyafah-al-saati-jawhrah-al-khobar,,,,,
Athens for Hotel Suites,+966 126775511,,,"Shakereen St., Safa Dist., Jeddah, Safa Dist., Jeddah, Makkah Province, Saudi Arabia",Shakereen St.,Makkah Province,Saudi Arabia,Athens for Hotel Suites,,https://arablocal.com/business/view/athens-for-hotel-suites,,,,,
Atina For Hotel Suites,+966 126777955,,,"Intersection Shakreen Street, Um Al Quraa St., Jeddah, Um Al Quraa St., Jeddah, Makkah Province, Saudi Arabia",Intersection Shakreen Street,Makkah Province,Saudi Arabia,Atina For Hotel Suites,,https://arablocal.com/business/view/atina-for-hotel-suites,,,,,
Dalmon For Hotel Suites,+966 138093997,,,"Dammam, Dammam, Dammam, Eastern Province, Saudi Arabia",Dammam,Eastern Province,Saudi Arabia,Dalmon For Hotel Suites,,https://arablocal.com/business/view/dalmon-for-hotel-suites,,,,,
Dyafah Al Saati Yanbu,+966 143226162,,,"Yanbu Al Bahar, Yanbu, Yanbu Al Bahar, Yanbu, Madinah Province, Saudi Arabia",Yanbu Al Bahar,Madinah Province,Saudi Arabia,Dyafah Al Saati Yanbu,,https://arablocal.com/business/view/dyafah-al-saati-yanbu,,,,,
Al Tout Palace Hotel Furnished Res. Units,+966 138897791,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Al Tout Palace Hotel Furnished Res. Units,,https://arablocal.com/business/view/al-tout-palace-hotel-furnished-res-units,,,,,
Al Yamama Palace Hotel Suites,+966 114715275,,,"Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Sulay Dist.,Riyadh Province,Saudi Arabia,Al Yamama Palace Hotel Suites,,https://arablocal.com/business/view/al-yamama-palace-hotel-suites,,,,,
Best Place Group For Hotel Suites,+966 126193737,,,"Mushrifah Dist., Jeddah, Mushrifah Dist., Jeddah, Makkah Province, Saudi Arabia",Mushrifah Dist.,Makkah Province,Saudi Arabia,Best Place Group For Hotel Suites,,https://arablocal.com/business/view/best-place-group-for-hotel-suites,,,,,
Best Place For Furnished Apartment,+966 508050905,,,"Al Moorj, Tabuk, Al Moorj, Tabuk, Tabuk Province, Saudi Arabia",Al Moorj,Tabuk Province,Saudi Arabia,Best Place For Furnished Apartment,,https://arablocal.com/business/view/best-place-for-furnished-apartment,,,,,
Al Shewaish Hotel Suites,+966 127251036,,,"Hawiyah, Taif, Hawiyah, Taif, Makkah Province, Saudi Arabia",Hawiyah,Makkah Province,Saudi Arabia,Al Shewaish Hotel Suites,,https://arablocal.com/business/view/al-shewaish-hotel-suites,,,,,
Comfort Dan Hotel Suites,+966 114545100,,,"Al Ta'aown Dist., Riyadh, Al Ta'aown Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Ta'aown Dist.,Riyadh Province,Saudi Arabia,Comfort Dan Hotel Suites,,https://arablocal.com/business/view/comfort-dan-hotel-suites,,,,,
Al Safa Palace Furnished Apartments Hotel,+966 148341700,,,"Harra Sharqiya, Al Madinah Al Munawarah, Harra Sharqiya, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Harra Sharqiya,Madinah Province,Saudi Arabia,Al Safa Palace Furnished Apartments Hotel,,https://arablocal.com/business/view/al-safa-palace-furnished-apartments-hotel,,,,,
Al Mis\'hal Palace For Furnished Flats,+966 133623000,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Al Mis'hal Palace For Furnished Flats,,https://arablocal.com/business/view/al-mis-hal-palace-for-furnished-flats,,,,,
Dar Al Nayfah For Furnished Hotel Suites,+966 112922360,,,"Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Malaz Dist.,Riyadh Province,Saudi Arabia,Dar Al Nayfah For Furnished Hotel Suites,,https://arablocal.com/business/view/dar-al-nayfah-for-furnished-hotel-suites,,,,,
Al Qadesiyah Hotel Suites,+966 172522953,,,"Sorat Abidah, Asir, Sorat Abidah, Asir, Asir Province, Saudi Arabia",Sorat Abidah,Asir Province,Saudi Arabia,Al Qadesiyah Hotel Suites,,https://arablocal.com/business/view/al-qadesiyah-hotel-suites,,,,,
Al Nabarees Hotel Suites,+966 126579446,,,"Al Hamrah Dist, Jeddah, Al Hamrah Dist, Jeddah, Makkah Province, Saudi Arabia",Al Hamrah Dist,Makkah Province,Saudi Arabia,Al Nabarees Hotel Suites,,https://arablocal.com/business/view/al-nabarees-hotel-suites,,,,,
Al Sharkia Star Hotel Apartments,+966 138228712,,,"King Saud Street, Uhud Dist., Dammam, Uhud Dist., Dammam, Eastern Province, Saudi Arabia",King Saud Street,Eastern Province,Saudi Arabia,Al Sharkia Star Hotel Apartments,,https://arablocal.com/business/view/al-sharkia-star-hotel-apartments,,,,,
Degree Al Fakhamah Hotel Suites,+966 112574642,,,"Unaizah St., Al Rawabei Dist., Riyadh, Al Rawabei Dist., Riyadh, Riyadh Province, Saudi Arabia",Unaizah St.,Riyadh Province,Saudi Arabia,Degree Al Fakhamah Hotel Suites,,https://arablocal.com/business/view/degree-al-fakhamah-hotel-suites,,,,,
Astronomic Palace For Hotel Suites,+966 138955111,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Astronomic Palace For Hotel Suites,,https://arablocal.com/business/view/astronomic-palace-for-hotel-suites,,,,,
Al Taif Palace Hotel,+966 148390959,,,"Harra Sharqiya, Al Madinah Al Munawarah, Harra Sharqiya, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Harra Sharqiya,Madinah Province,Saudi Arabia,Al Taif Palace Hotel,,https://arablocal.com/business/view/al-taif-palace-hotel,,,,,
Anbar Palace For Hotel Suites,+966 114939966,,,"Rabwa Dist., Riyadh, Rabwa Dist., Riyadh, Riyadh Province, Saudi Arabia",Rabwa Dist.,Riyadh Province,Saudi Arabia,Anbar Palace For Hotel Suites,,https://arablocal.com/business/view/anbar-palace-for-hotel-suites,,,,,
Al Sundus For Hotels And Furnished Units,+966 126832836,,,"Salama Dist., Jeddah, Salama Dist., Jeddah, Makkah Province, Saudi Arabia",Salama Dist.,Makkah Province,Saudi Arabia,Al Sundus For Hotels And Furnished Units,,https://arablocal.com/business/view/al-sundus-for-hotels-and-furnished-units,,,,,
Bin Sorour Gest-House And Hotel,+966 175441912,,,"Najran, Najran, Najran, Najran Province, Saudi Arabia",Najran,Najran Province,Saudi Arabia,Bin Sorour Gest-House And Hotel,,https://arablocal.com/business/view/bin-sorour-gest-house-and-hotel,,,,,
Al Oyayri Hotel For Furnished Apartments,+966 148283335,,,"King Abdullah Road, Al Madinah Al Munawarah, King Abdullah Road, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",King Abdullah Road,Madinah Province,Saudi Arabia,Al Oyayri Hotel For Furnished Apartments,,https://arablocal.com/business/view/al-oyayri-hotel-for-furnished-apartments,,,,,
Bazel For Hotel Suites,+966 114164455,,,"Sulaimaniyah Dist., Riyadh, Sulaimaniyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Sulaimaniyah Dist.,Riyadh Province,Saudi Arabia,Bazel For Hotel Suites,,https://arablocal.com/business/view/bazel-for-hotel-suites,,,,,
Azari For Hotel Suites,+966 138097006,,,"Bareed Dist., Dammam, Bareed Dist., Dammam, Eastern Province, Saudi Arabia",Bareed Dist.,Eastern Province,Saudi Arabia,Azari For Hotel Suites,,https://arablocal.com/business/view/azari-for-hotel-suites,,,,,
Al Saher Hotel Furnished Suites,+966 122677788,,,"Safa Dist., Jeddah, Safa Dist., Jeddah, Makkah Province, Saudi Arabia",Safa Dist.,Makkah Province,Saudi Arabia,Al Saher Hotel Furnished Suites,,https://arablocal.com/business/view/al-saher-hotel-furnished-suites,,,,,
Dar Al Hussam For Hotel Suites,+966 138961522,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Dar Al Hussam For Hotel Suites,,https://arablocal.com/business/view/dar-al-hussam-for-hotel-suites,,,,,
Atlal Al Sharqia Hotel Furnished Suites,+966 138090777,,,"Hamra Dist., Riyadh, Hamra Dist., Riyadh, Riyadh Province, Saudi Arabia",Hamra Dist.,Riyadh Province,Saudi Arabia,Atlal Al Sharqia Hotel Furnished Suites,,https://arablocal.com/business/view/atlal-al-sharqia-hotel-furnished-suites,,,,,
Al Talayi Furnished Apartments,+966 126545050,,,"Nozhah DIST, Jeddah, Nozhah DIST, Jeddah, Makkah Province, Saudi Arabia",Nozhah DIST,Makkah Province,Saudi Arabia,Al Talayi Furnished Apartments,,https://arablocal.com/business/view/al-talayi-furnished-apartments,,,,,
Al Rafaheyah Hotel Suites,+966 112789484,,,"Hamra Dist., Riyadh, Hamra Dist., Riyadh, Riyadh Province, Saudi Arabia",Hamra Dist.,Riyadh Province,Saudi Arabia,Al Rafaheyah Hotel Suites,,https://arablocal.com/business/view/al-rafaheyah-hotel-suites,,,,,
Eastern Factory For Ready Houses,+966 138112301,,,"Abo Hadryha Road, Dammam, Abo Hadryha Road, Dammam, Eastern Province, Saudi Arabia",Abo Hadryha Road,Eastern Province,Saudi Arabia,Specialized in ready houses manufacturing and supplying for more than 28 years.,http://www.eastern-factory.com,https://arablocal.com/business/view/eastern-factory-for-ready-houses,,,,,
Boecker Public Health Co.,+966 112884466,,,"King Abdul Aziz Road, Riyadh, King Abdul Aziz Road, Riyadh, Riyadh Province, Saudi Arabia",King Abdul Aziz Road,Riyadh Province,Saudi Arabia,"Boecker Public Health, the region’s largest Pest Management, Food Safety and Biosecurity services, provides World Class services for the most demanding commercial, food service and residential sectors. Founded in 1993, Boecker has been positioned as a renowned leader in the field of public health with a well founded expansion in the Middle East region operating in UAE, Lebanon, Saudi Arabia, Kuwait, Qatar and lately in Nigeria.",http://www.boecker.com,https://arablocal.com/business/view/boecker-public-health-co,https://www.facebook.com/FollowBoecker/,https://www.instagram.com/followboecker/,https://www.linkedin.com/company/boecker-public-health,,https://www.youtube.com/user/boeckerpublichealth
Mura Bustan Compounds,+966 126910041,,,"Ibn Alwan Street, Al Buoadi Dist., Jeddah, Al Buoadi Dist., Jeddah, Makkah Province, Saudi Arabia",Ibn Alwan Street,Makkah Province,Saudi Arabia,Mura Bustan Compounds,http://www.mura-bustan.com,https://arablocal.com/business/view/mura-bustan-compounds,,,,,
Arqab Gulf Prefab Houses Factory,+966 506209104,+966 112062555,info@erkabalkhaleej.com,"Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Malaz Dist.,Riyadh Province,Saudi Arabia,Arqab Gulf Prefab Houses Factory,http://www.erkabalkhaleej.com,https://arablocal.com/business/view/arqab-gulf-prefab-houses-factory,,,,,
Tulip Inn - Al Khobar,+966 138825588,,,"Prince Turkey Street, Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Prince Turkey Street,Eastern Province,Saudi Arabia,Tulip Inn - Al Khobar,http://tulip-inn-riyadh.goldentulip.com/en-us?arrival=2019-09-09T00:00:00&departure=2019-09-10T00:00:00&rooms[0][adult]=1&rooms[0][child]=0&location=,https://arablocal.com/business/view/tulip-inn-al-khobar,https://www.facebook.com/goldentuliphotelsfr/?brand_redir=10763360898,https://www.instagram.com/goldentuliphotels/?hl=fr,,,
Modern Factory For Prefab Houses Nazlah Jeddah,+966 126355567,,,"Nazlah Dist., Jeddah, Nazlah Dist., Jeddah, Makkah Province, Saudi Arabia",Nazlah Dist.,Makkah Province,Saudi Arabia,Modern Factory For Prefab Houses Nazlah Jeddah,http://www.mofabhousing.com/aboutus_profile.html,https://arablocal.com/business/view/modern-factory-for-prefab-houses-nazlah-jeddah,,,,,
Al Muhaidib Furnished Apartments,+966 114632130,,,"Al Farazdaq Road, Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Farazdaq Road,Riyadh Province,Saudi Arabia,Al Muhaidib Furnished Apartments,http://www.muhaidib.com/custom/sector/1,https://arablocal.com/business/view/al-muhaidib-furnished-apartments,,,,,
Shahen Logistics - Trucking Services Solutions,+966 920012163,,info@shahen-sa.com,"3273 Anas Bin Malik - Al Sahafah Dist. Unit No 7747 Riyadh 13321 - 8369 Kingdom of Saudi Arabia, Al Sahaffa Dist., Riyadh, Riyadh Province, Saudi Arabia",3273 Anas Bin Malik - Al Sahafah Dist. Unit No 7747 Riyadh 13321 - 8369 Kingdom of Saudi Arabia,Riyadh Province,Saudi Arabia,"Shahen's headquarters is in Saudi Arabia, Riyadh. The platform is made to build an easier route for trucking services customers. At Shahen, we aspire to make a change in the logistic industry. Therefore, we offer a grand variety of trucks to fulfil all logistic needs. There are Traila trucks, Lorry, Six, Dyna and Pickup trucks. Each type of truck naturally serves a purpose. For companies, we offer a business website where employees can order the trucks they need within one account. All online...",https://arablocal.com/,https://arablocal.com/business/view/shahen-logistics--trucking-services-solutions,https://www.facebook.com/SHAHEN-SA-105402241801913,https://www.instagram.com/shahenapp,https://www.linkedin.com/company/shahen-logistics-truck-hire-riyadh,https://twitter.com/shahenapp,
Executives Elite Hotel,+966 114953311,,,"Neer Saptco, Aziziyah Dist., Riyadh, Aziziyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Neer Saptco,Riyadh Province,Saudi Arabia,Executives Elite Hotel,http://www.executives-hotel.com/,https://arablocal.com/business/view/executives-elite-hotel,,,,,
Boudl Al Massif,+966 114559841,,web@boudl.com,"Northern Ring Road, Al Maseef Dist., Riyadh, Al Maseef Dist., Riyadh, Riyadh Province, Saudi Arabia",Northern Ring Road,Riyadh Province,Saudi Arabia,Boudl Al Massif,http://boudl.com/,https://arablocal.com/business/view/boudl-al-massif,https://www.facebook.com/boudl.hotels.resorts/,https://www.instagram.com/braira_hotels/,,https://twitter.com/BoudlHotels,https://www.youtube.com/channel/UC2Ci8v8M-DGAIZyT7gtoPsQ
Al Muhaidib Hotel Suites Ulaya Riyadh,+966 114614179,,,"King Fahd Road Behind Black Box, Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",King Fahd Road Behind Black Box,Riyadh Province,Saudi Arabia,Al Muhaidib Hotel Suites Ulaya Riyadh,http://www.almuhaidb.com/en/,https://arablocal.com/business/view/al-muhaidib-hotel-suites-ulaya-riyadh,https://www.facebook.com/almuhaidebhotel/,https://www.instagram.com/almuhaidebhotel/,,https://twitter.com/almuhaidebhotel,
The Glorious,+966 559845027,+966 148666677,info@theglorioushotels.com,"Riyadh Road, Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Riyadh Road,Madinah Province,Saudi Arabia,The Glorious,http://www.theglorioushotels.com,https://arablocal.com/business/view/the-glorious,,,,,
Rest Inn Hotel Suites,+966 138899889,,,"Firas Ibn Al Nudur, Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Firas Ibn Al Nudur,Eastern Province,Saudi Arabia,Rest Inn Hotel Suites,http://www.rest-inn.com/,https://arablocal.com/business/view/rest-inn-hotel-suites,,,,,
Boudl Onaiza,+966 163637121,,web@boudl.com,"Unaiza, Qassim, Unaiza, Qassim, Qassim Province, Saudi Arabia",Unaiza,Qassim Province,Saudi Arabia,Boudl Onaiza,http://boudl.com/,https://arablocal.com/business/view/boudl-onaiza,https://www.facebook.com/boudl.hotels.resorts/,https://www.instagram.com/braira_hotels/,,https://twitter.com/BoudlHotels,https://www.youtube.com/channel/UC2Ci8v8M-DGAIZyT7gtoPsQ
Boudl Khurais,+966 112172222,,web@boudl.com,"Khurais Road, Riyadh, Khurais Road, Riyadh, Riyadh Province, Saudi Arabia",Khurais Road,Riyadh Province,Saudi Arabia,Boudl Khurais,http://boudl.com/,https://arablocal.com/business/view/boudl-khurais,https://www.facebook.com/boudl.hotels.resorts/,https://www.instagram.com/braira_hotels/,,https://twitter.com/BoudlHotels,https://www.youtube.com/channel/UC2Ci8v8M-DGAIZyT7gtoPsQ
Boudl Al Fayah,+966 112424500,,web@boudl.com,"Haroon Al Rasheed Street - Exit 15, Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Haroon Al Rasheed Street - Exit 15,Riyadh Province,Saudi Arabia,Boudl Al Fayah,http://boudl.com/,https://arablocal.com/business/view/boudl-al-fayah,https://www.facebook.com/boudl.hotels.resorts/,https://www.instagram.com/braira_hotels/,,https://twitter.com/BoudlHotels,https://www.youtube.com/channel/UC2Ci8v8M-DGAIZyT7gtoPsQ
Boudl Hotels And Resorts,+966 112176666,,web@boudl.com,"opposite to Al-Faisalya Tower, Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",opposite to Al-Faisalya Tower,Riyadh Province,Saudi Arabia,Boudl Hotels And Resorts,http://boudl.com/,https://arablocal.com/business/view/boudl-hotels-and-resorts,https://www.facebook.com/boudl.hotels.resorts/,https://www.instagram.com/braira_hotels/,,https://twitter.com/BoudlHotels,https://www.youtube.com/channel/UC2Ci8v8M-DGAIZyT7gtoPsQ
Boudl Gaber Hotel,+966 594411814,,web@boudl.com,"Khaleej Dist., Riyadh, Khaleej Dist., Riyadh, Riyadh Province, Saudi Arabia",Khaleej Dist.,Riyadh Province,Saudi Arabia,Boudl Gaber Hotel,http://boudl.com/,https://arablocal.com/business/view/boudl-gaber-hotel,https://www.facebook.com/boudl.hotels.resorts/,https://www.instagram.com/braira_hotels/,,https://twitter.com/BoudlHotels,https://www.youtube.com/channel/UC2Ci8v8M-DGAIZyT7gtoPsQ
