Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
communication-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-dara-national-ent-llc,,,,,
events,Al Hadi International L Lc,+968 24830993,,,mukadam1955@hotmail.com,Ruwi Muttrah Al Kubra -,Ruwi,Oman,Al Hadi International L Lc,,0,1640,,https://oman.arablocal.com/business/view/al-hadi-international-l-lc,,,,,
communication-,Cirkle It One Stop Solution For Your Business Needs,+968 24562693,,,contakt@cirkle-it.com,"Suite #123, HATAT Complex A block, Wadi Adai",Wattayah,Oman,"Cirkle-IT delivers a range of high-quality customized IT services such as cloud web hosting, Search Engine Optimization(SEO), web design and development, data recovery and forensics, school management software and so on. We provide you full IT support that you need for your business needs across Muscat, Oman.",http://cirkle-it.com,0,1113,,https://oman.arablocal.com/business/view/cirkle-it-one-stop-solution-for-your-business-needs,,,,,
communication-,Alasool Technologies LLC,+968 24601167,,,,"Oman Oasis, Oman -",Ruwi,Oman,Alasool Technologies LLC,,0,1104,,https://oman.arablocal.com/business/view/alasool-technologies-llc,,,,,
communication-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/hayat-communications-llc,,,,,
communication-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-data-park-llc,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/plateaus-arab-company,,,,,
events,Kma Production,+968 24490488,,,kmalsaid@omantel.com.net,Near Masjid Rehman Al Azaiba -,Ruwi,Oman,Kma Production,http://www.kma-oman.com,0,1636,,https://oman.arablocal.com/business/view/kma-production,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/social-media-marketing-mirrors-oman,,,,,
communication-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/anwar-muscat-management-and-it-consultancy,,,,,
accomodation,Al Habib And Co LLC,+968 24709477,,,msreddy@alhabib.om,"3rd Fl, MGM -",Ruwi,Oman,Al Habib And Co LLC,http://www.alhabib.om,0,1472,,https://oman.arablocal.com/business/view/al-habib-and-co-llc,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/darran-enterprises-llc,,,,,
communication-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/easy-technical-for-information-technology-llc,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/amlak-al-shamela-investment-co,,,,,
accomodation,Cluttons,+968 24564250,,,shruti.dilip@cluttons.com,Hatat House Wadi Uday -,Ruwi,Oman,,http://www.cluttons.com/oman,0,1371,,https://oman.arablocal.com/business/view/cluttons,,,,,
communication-,Digital Intelligence LLC,+968 24170119,,,,"Oman Oasis, Oman -",Muscat,Oman,Digital Intelligence LLC,,0,1086,,https://oman.arablocal.com/business/view/digital-intelligence-llc,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/food-house-co-llc,,,,,
communication-,Elite International Information Systems LLC,+968 24170558,,,,"Oman Oasis, Oman -",Muscat,Oman,Elite International Information Systems LLC,,0,1084,,https://oman.arablocal.com/business/view/elite-international-information-systems-llc,,,,,
communication-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/omantel-telecommunications-company-saog,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/janoub-al-sharqiya-llc,,,,,
communication-,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-masarat-information-technology,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/amber-business-development-services,,,,,
events,Al Mandos Group Corporation,+968 24499168,,,nadeemkohati@gmail.com,Al Aziba - Behind Shell petrol station Galah -,Azaiba,Oman,Al Mandos Group Corporation,,0,1398,,https://oman.arablocal.com/business/view/al-mandos-group-corporation,,,,,
events,Al Harmali United Co,+968 24479144,,,abulaith_556@hotmail.com,AL Taza Rastaurant Bld Al Khuwair -,Nizwa,Oman,Al Harmali United Co,,0,1370,,https://oman.arablocal.com/business/view/al-harmali-united-co,,,,,
events,Lemon,+968 24567050,,,lemonoman@gmail.com,"Al Dana Bldg , 2 flr , Flat No.10 Al Gubra -",Jawaharat Al Shatti,Oman,,http://www.lemon-oman.com,0,1355,,https://oman.arablocal.com/business/view/lemon,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/badr-khalifa-mubark-al-shiadi-trading,,,,,
events,Qalhat,+968 24791501,,,qalhat.s.p@gmail.com,Ruwi -,Al Hamriyah,Oman,,,0,1367,,https://oman.arablocal.com/business/view/qalhat,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/amjad-majan-llc,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/saba-al-muden-al-haditha-trade-and-con,,,,,
events,Golden Duha Proj LLC,+968 24484960,,,theprince_4000@yahoo.com,Al Khuwair Arzat Building Oppo -,Ibri,Oman,Golden Duha Proj LLC,,0,1275,,https://oman.arablocal.com/business/view/golden-duha-proj-llc,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/kingdom-of-dreams-llc,,,,,
events,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/ashraat-al-amel-al-wattaniya-trading,,,,,
acoustical-consultants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/swiss-international-llc,,,,,
acoustical-consultants,Al Harmeli United Co LLC,+968 24487804,,,kpaulose.biju@gmail.com,Meknes Bldg,Al Khuwiar,Oman,Al Harmeli United Co LLC,,0,1591,,https://oman.arablocal.com/business/view/al-harmeli-united-co-llc,,,,,
accounting,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/redington-gulf-and-co-llc,,,,,
accounting,Moore Stephens,+968 24812041,,,stephnes@omantel.net.om,"Bank Melli Iran Bldg,Nr to Center Point,Ruwi 2nd Floor, Office no 201 Muscat -",Ruwi,Oman,Moore Stephens,,0,1859,,https://oman.arablocal.com/business/view/moore-stephens,,,,,
accounting,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/gulf-computer-support-system-llc,,,,,
accounting,Abu Timam Grant Thornton,+968 24571321,,,info@gtoman.org,"Rumaila Bldg No 106, 3rd Floor -",Al Harthy Complex,Oman,Abu Timam Grant Thornton,,0,1677,,https://oman.arablocal.com/business/view/abu-timam-grant-thornton,,,,,
advertising-&-marketing-services,Oman Advertising Agency LLC,+968 24704022,,,omanad@gmail.com,Gulf House Bldg 5th Flr Ruwi -,Ruwi,Oman,Oman Advertising Agency LLC,http://www.omanad.net,0,2334,,https://oman.arablocal.com/business/view/oman-advertising-agency-llc,,,,,
accounting,Al Ahli Bureau Audit,+968 24795882,,,alahli@omantel.net.om,Ruwi -,Al Hamriyah,Oman,Al Ahli Bureau Audit,,0,1559,,https://oman.arablocal.com/business/view/al-ahli-bureau-audit,,,,,
advertising-&-marketing-services,Al Kiyumi Media LLC,+968 24490629,,,info@alkiyumimedia.com,Near To Health Center Al Gubra Oman -,Al Azaiba,Oman,Al Kiyumi Media LLC,http://www.alkiyumimedia.com,0,1660,,https://oman.arablocal.com/business/view/al-kiyumi-media-llc,,,,,
accounting,Hlb Ca Group Chartered Accountants,+968 24485859,,,sultan.alsiyabi@cagroup.com.om,Al Khuwair Commercial Area,Al Khuwiar,Oman,"HLB CA Group, a member of HLB International, is one of the fast growing professional services firm in Oman, formed to serve the assurance and advisory needs of the businesses in a wide range of industries. HLB International is a leading global network of independent professional accounting firms and business advisers.",http://hlb.om,0,1635,,https://oman.arablocal.com/business/view/hlb-ca-group-chartered-accountants,,,,,
accounting,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/kpmg-ruwi,,,,,
advertising-&-marketing-services,Muscat Press And Publishing House Saog,+968 24726666,,,aziz@timesofoman.com,Muscat -,Ruwi,Oman,Muscat Press And Publishing House Saog,,0,1628,,https://oman.arablocal.com/business/view/muscat-press-and-publishing-house-saog,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/riam-signs-and-advertising-industry,,,,,
accounting,H C Shah And Co,+968 24707654,,,biztools@omantel.net.om,Opp Hafa House Hotel Ruwi -,Ruwi,Oman,H C Shah And Co,http://www.biznesstools.com,,1538,,https://oman.arablocal.com/business/view/h-c-shah-and-co,,,,,
accounting,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/crowe-horwath,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/zeenah-llc,,,,,
accounting,Expert Software LLC,+968 24785585,,,yousuf.alyahmadi@expert-me.com,Opp Oman Post Ruwi -,Ruwi,Oman,Expert Software LLC,http://www.expert-me.com,0,1478,,https://oman.arablocal.com/business/view/expert-software-llc,,,,,
accounting,Accounting Center For Auditing,+968 24706699,,,,"Near National Bank,Omani Qatari Company for Insurance Bldg.Office No.11 Ruwi -",Ruwi,Oman,Accounting Center For Auditing,,0,1460,,https://oman.arablocal.com/business/view/accounting-center-for-auditing,,,,,
advertising-&-marketing-services,Advertising And Publicity Co LLC,+968 24489453,,,advertising@ohigroup.com,Al Khuwair South 233 -,Muscat,Oman,Advertising And Publicity Co LLC,http://www.ohi.com,0,1468,,https://oman.arablocal.com/business/view/advertising-and-publicity-co-llc,,,,,
accounting,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/maganlal-thacker-and-co,,,,,
accounting,Riyam Computer Services LLC,+968 24691230,,,rcs@omzest.com,"Al-Inshirah St, Opp Centre -",Al Wadi Al Kabir,Oman,Riyam Computer Services LLC,http://www.riyamcomputers.com,0,1393,,https://oman.arablocal.com/business/view/riyam-computer-services-llc,,,,,
accounting,Matrix L L C,+968 24496007,,,sulaiman@matrixoman.net,Near Zubair Showroom,Al Azaiba,Oman,Matrix L L C,,0,1342,,https://oman.arablocal.com/business/view/matrix-l-l-c,,,,,
accounting,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/united-management-services-llc,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/united-service-and-media-saog,,,,,
advertising-&-marketing-services,Al Khalidiya Financial Consultancy,+968 24498975,,,khalidfc@omantel.net.om,Near Al Raffa Hospital Al Gubra -,Azaiba,Oman,Al Khalidiya Financial Consultancy,http://www.khalidiya.com,,1376,,https://oman.arablocal.com/business/view/al-khalidiya-financial-consultancy,,,,,
advertising-&-marketing-services,First Golden Trading Investment LLC,+968 96568888,,,mail@bindablan.com,Area :,Saadah,Oman,First Golden Trading Investment LLC,http://mail@bindablan.com,0,1358,,https://oman.arablocal.com/business/view/first-golden-trading-investment-llc,,,,,
accounting,Aman International LLC,+968 24596111,,,info@amanllc.com,Galah Industrial Nr CoCaCola Co Galah -,Al Khuwiar,Oman,Aman International LLC,,,1285,,https://oman.arablocal.com/business/view/aman-international-llc,,,,,
accounting,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-khuwair-computer-and-engineering,,,,,
advertising-&-marketing-services,Arab International Advertising Co LLC,+968 24475700,,,aideed@agaboman.com,"Sabakh Bldg , 3 flr , Nr Safeer -",Mina Al Fahal,Oman,Arab International Advertising Co LLC,http://www.agaboman.com,0,1357,,https://oman.arablocal.com/business/view/arab-international-advertising-co-llc,,,,,
advertising-&-marketing-services,Advance Marketing Solutions LLC,+968 24499265,,,info@advance-om.com,Al Azaiba -,Al Khuwiar,Oman,Advance Marketing Solutions LLC,http://www.advance-om.com,0,1332,,https://oman.arablocal.com/business/view/advance-marketing-solutions-llc,,,,,
advertising-&-marketing-services,Al Ahed International Projects,+968 24612020,,,sultan@infinity-adv.com,AL Ghubra South Al Gubra -,Al Khuwiar,Oman,Al Ahed International Projects,,0,1318,,https://oman.arablocal.com/business/view/al-ahed-international-projects,,,,,
accounting,Al Burj Audit,+968 23288070,,,,Salalah Dhofar -,Al Dahareez,Oman,Al Burj Audit,,0,1211,,https://oman.arablocal.com/business/view/al-burj-audit,,,,,
accounting,Comprehensive Technology Center,+968 24585101,,,ctcoman@gmail.com,Al Ansab Al Busher -,Mina Al Fahal,Oman,Comprehensive Technology Center,,0,1200,,https://oman.arablocal.com/business/view/comprehensive-technology-center,,,,,
advertising-&-marketing-services,Adverising International Co LLC,+968 24564614,,,,Nr Al Araimi Complex Al Qurum -,Al Harthy Complex,Oman,Adverising International Co LLC,,0,1295,,https://oman.arablocal.com/business/view/adverising-international-co-llc,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-dharwa-llc,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/star-international-marketing-promotion-agency,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-usus-advertising-l-l-c,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/fanar-logistics-services,,,,,
advertising-&-marketing-services,Deenar Press And Publishing LLC,+968 24696868,,,,Bhd Center Point Al Khuwair -,Qurum City Center,Oman,Deenar Press And Publishing LLC,,,1242,,https://oman.arablocal.com/business/view/deenar-press-and-publishing-llc,,,,,
advertising-&-marketing-services,Descoverer LLC,+968 24545022,,,suwaidi217@hotmail.com,Industrial Maabela Al Maabela -,Muscat,Oman,Descoverer LLC,,0,1234,,https://oman.arablocal.com/business/view/descoverer-llc,,,,,
advertising-&-marketing-services,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-mazunah-investment-management-co-mfz,,,,,
air-conditioning,Shanfari And Partners Co LLC Salalah,+968 23291805,+968 23291351,,shanfar1@omantel.net.om,"Al Salam Street, Salalah -",Salalah,Oman,Shanfari And Partners Co LLC Salalah,http://www.spcoman.com,,2457,,https://oman.arablocal.com/business/view/shanfari-and-partners-co-llc-salalah,,,,,
air-conditioning,Dolphin Radiators And Cooling Systems LLC,+968 24811919,,,dolcool@omantel.net.om,"Near Port Services Camp, Way 493 -",Al Wadi Al Kabir,Oman,Dolphin Radiators And Cooling Systems LLC,http://www.dolphinheattransfer.com,0,2430,,https://oman.arablocal.com/business/view/dolphin-radiators-and-cooling-systems-llc,,,,,
air-conditioning,Muscat Air Conditioning And Electronics,+968 97235201,,,se5bsd@mace.com.co,MUSCAT RUWI,Ruwi,Oman,"MACE is part of sultanate’sPrestigious Al-Yousef Group, with the group having more than 30 years of Experience in the field of Office Automation products. MACE is proud to bring the award-winning MFPs from SHARP which offers innovative features that stimulate productivity. The latest in Sharp MFP systems have been meticulously engineered to help businesses maximize their document workflow efficiency while providing outstanding image quality and performance. A detailed list of consumable & spa...",http://www.mace.com,0,2009,,https://oman.arablocal.com/business/view/muscat-air-conditioning-and-electronics,,,,,
air-conditioning,Ibn Amor Al Maamary Electronics,+968 99342638,+968 24540107,,sales@ibn-amor.com,Area :,Samail,Oman,Ibn Amor Al Maamary Electronics,,0,1783,,https://oman.arablocal.com/business/view/ibn-amor-al-maamary-electronics,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oriental-insulated-blocks-co-llc,,,,,
air-conditioning,National Cooler Center LLC,+968 24593220,,,alhabi@omantel.net.om,Industrial Area Galah -,Ruwi,Oman,National Cooler Center LLC,,0,1642,,https://oman.arablocal.com/business/view/national-cooler-center-llc,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/professional-tiles-co-llc,,,,,
air-conditioning,Eastern Trading And Industry LLC,+968 24446057,,,,Area :,Rusayl,Oman,Eastern Trading And Industry LLC,,0,1506,,https://oman.arablocal.com/business/view/eastern-trading-and-industry-llc,,,,,
air-conditioning,Oriental International Co,+968 24446130,+968 24446131,,oriental@omantel.net.om,Industrial Area -,Muscat,Oman,Oriental International Co,http://www.orientalgroup.om,0,1545,,https://oman.arablocal.com/business/view/oriental-international-co,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/abu-faesal-al-musroori-trading,,,,,
air-conditioning,Mazaya Alsaraq Alasrayeh L L C,+968 22022318,,,al.abar@ovi.com,Al Oufi Industrial,Sohar,Oman,Mazaya Alsaraq Alasrayeh L L C,,0,1425,,https://oman.arablocal.com/business/view/mazaya-alsaraq-alasrayeh-l-l-c,,,,,
air-conditioning,Gulf Comprehensive Electricity Co LLC,+968 24503255,,,,Nr Al Shaqri Garage Galah -,Seeb City Center,Oman,Gulf Comprehensive Electricity Co LLC,,0,1423,,https://oman.arablocal.com/business/view/gulf-comprehensive-electricity-co-llc,,,,,
air-conditioning,Al Fahkir Engineering Services LLC,+968 24818161,,,pridemuscat@gmail.com,Al Hail -,Al Wadi Al Kabir,Oman,Al Fahkir Engineering Services LLC,,0,1420,,https://oman.arablocal.com/business/view/al-fahkir-engineering-services-llc,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/stars-cold-llc,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/kites-trade-and-cont-llc,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/afdhal-al-mazaya-trade-and-cont-llc,,,,,
air-conditioning,Al Neel Gold Trade And Cont,+968 25583484,,,,Bdiya -Al Muntarib Bidiyah -,Bidiyah,Oman,Al Neel Gold Trade And Cont,,0,1371,,https://oman.arablocal.com/business/view/al-neel-gold-trade-and-cont,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/abu-abbali-engineering-services-llc,,,,,
air-conditioning,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/said-mohamid-said-al-siyabi-trading,,,,,
airports,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-airports-management-co-s-a-o-g,,,,,
events,Al Musanda Professional Projects L L C,+968 24700001,,,saeed@istoman.com,Bait Al Hafa Hotel Ruwi -,Ruwi,Oman,Al Musanda Professional Projects L L C,http://www.istoman.com,0,1192,,https://oman.arablocal.com/business/view/al-musanda-professional-projects-l-l-c,,,,,
events,Trade Winds Ent LLC Almutarjim,+968 24482422,,,natc55@hotmail.com,"Al Sukri Complex, Opposite Zakhir Mall -",Muscat,Oman,Trade Winds Ent LLC Almutarjim,http://www.almutarjim.com,0,1083,,https://oman.arablocal.com/business/view/trade-winds-ent-llc-almutarjim,,,,,
events,Sabco Art LLC,+968 24602717,,,info@theagency.co.om,"Villa No 6836,Near British Council,Opposite to Royal,Madinat Al Ilam Muscat -",Ruwi,Oman,Sabco Art LLC,http://www.theagency.co.om,,1206,,https://oman.arablocal.com/business/view/sabco-art-llc,,,,,
events,Road Map Trade And Cont,+968 24499911,,,me-mahada@hotmail.com,Al Gubra -,Ruwi,Oman,Road Map Trade And Cont,,0,1042,,https://oman.arablocal.com/business/view/road-map-trade-and-cont,,,,,
events,Asian Hospitality And Services LLC,+968 24451008,,,adil.sanjrani@gmail.com,Suq Al Seeb -,Muscat,Oman,Asian Hospitality And Services LLC,,0,1033,,https://oman.arablocal.com/business/view/asian-hospitality-and-services-llc,,,,,
events,Bin Diwuh Trading Est,+968 26731898,,,,Khasab -,Khasab,Oman,Bin Diwuh Trading Est,,0,1018,,https://oman.arablocal.com/business/view/bin-diwuh-trading-est,,,,,
events,Al Shakili Modern Project,+968 24543437,,,alsh_m_p@hotmail.com,Al Khoud Next Dhofar Bank Nizwa -,Bahla,Oman,Al Shakili Modern Project,,0,971,,https://oman.arablocal.com/business/view/al-shakili-modern-project,,,,,
events,Gassim Al Batashi Trading Ent,+968 24837447,,,,Wadi Adai Wadi Adai -,Al Wadi Al Kabir,Oman,Gassim Al Batashi Trading Ent,,0,975,,https://oman.arablocal.com/business/view/gassim-al-batashi-trading-ent,,,,,
events,Shuaa Muscat Al Wataniya LLC,+968 24700578,,,,Nr To Qaboos Mosque Ruwi -,Hay Al Mina Jibroo,Oman,Shuaa Muscat Al Wataniya LLC,,0,955,,https://oman.arablocal.com/business/view/shuaa-muscat-al-wataniya-llc,,,,,
events,Qamam Al Harat Trading Company,+968 26731577,,,badarsaeed888@hotmail.com,Khasab -,Khasab,Oman,Qamam Al Harat Trading Company,,0,956,,https://oman.arablocal.com/business/view/qamam-al-harat-trading-company,,,,,
events,Rahwah Int,+968 24614547,,,mail@rahwah.info,North Al Gubra -,Qurum City Center,Oman,,,0,943,,https://oman.arablocal.com/business/view/rahwah-int,,,,,
events,Maniar International LLC,+968 24811339,,,milan@omantel.net.om,Muttrah Al Kubra -,Ruwi,Oman,Maniar International LLC,,0,936,,https://oman.arablocal.com/business/view/maniar-international-llc,,,,,
events,Methaq Integreted,+968 24563564,,,info@methaqoman.com,Near Refinary Road,Al Qurum,Oman,Methaq Integreted,http://www.methaqoman.com,0,934,,https://oman.arablocal.com/business/view/methaq-integreted,,,,,
events,Mrbadar Khaleefa Mubarik Al Sheyadi Trade,+968 26860009,,,,Al Suwaiq -,Al Suwaiq,Oman,Mrbadar Khaleefa Mubarik Al Sheyadi Trade,,0,932,,https://oman.arablocal.com/business/view/mrbadar-khaleefa-mubarik-al-sheyadi-trade,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Zumriadt Nizwa Trading,+968 24548805,,,,Suq AL Seeb Al Seeb -,Al Khud,Oman,Zumriadt Nizwa Trading,,0,4692,,https://oman.arablocal.com/business/view/zumriadt-nizwa-trading,,,,,
events,National Performing Arts And Events LLC,+968 24705878,,,info@npaeventsoman.com,"Ground Floor, Lima House Bait Al Falaj -",Ruwi,Oman,National Performing Arts And Events LLC,http://www.npaeventsoman.com,0,932,,https://oman.arablocal.com/business/view/national-performing-arts-and-events-llc,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Global Village Shopping LLC,+968 25544411,,,ghaedi.salman@gmail.com,Sur - Close to Sur Round About Sur -,Barka,Oman,Global Village Shopping LLC,,0,3897,,https://oman.arablocal.com/business/view/global-village-shopping-llc,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Sahar Al Khaleej LLC,+968 24715077,,,lalwanigorindorm@yahoo.com,Suq Al Khoudh Near To National Bank -,Al Wadi Al Kabir,Oman,Sahar Al Khaleej LLC,,0,2778,,https://oman.arablocal.com/business/view/sahar-al-khaleej-llc,,,,,
events,Mashwar Al Rakha,+968 26840208,,,alraees911@hotmail.com,Area :,Sohar,Oman,Mashwar Al Rakha,,0,929,,https://oman.arablocal.com/business/view/mashwar-al-rakha,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Abdul Rasool Saleh Mohd Store,+968 24836333,,,,Opp Mazoon Complex Ruwi -,Ruwi,Oman,Abdul Rasool Saleh Mohd Store,,0,2382,,https://oman.arablocal.com/business/view/abdul-rasool-saleh-mohd-store,,,,,
events,Ibn Gahdham Reconstruction And Commercial Services,+968 25571024,,,,AL Safalah Ibra -,Ibra,Oman,Ibn Gahdham Reconstruction And Commercial Services,,0,898,,https://oman.arablocal.com/business/view/ibn-gahdham-reconstruction-and-commercial-services,,,,,
events,Sharq Amazing United S A U Z A,+968 24665330,,,zuzana@suzaevents.com,Al Wadi Commercial Centre Al Qurum -,Ruwi,Oman,Sharq Amazing United S A U Z A,http://www.suzaevents.com,0,890,,https://oman.arablocal.com/business/view/sharq-amazing-united-s-a-u-z-a,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Reaz Trade Co LLC,+968 23292768,,,,Dhofar -,Salalah,Oman,Reaz Trade Co LLC,,0,2274,,https://oman.arablocal.com/business/view/reaz-trade-co-llc,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Sun Flower International LLC,+968 26346617,,,admin@alhosnigroup.com,Barka Industrial Area (Al-Saksook) Barka -,Al Seeb,Oman,Sun Flower International LLC,,0,2254,,https://oman.arablocal.com/business/view/sun-flower-international-llc,,,,,
events,Pride Seeb Trading And Cont,+968 24424800,,,nasserh@live.com,Opp Al Maawali Mall Al Maabela -,Azaiba,Oman,Pride Seeb Trading And Cont,,0,884,,https://oman.arablocal.com/business/view/pride-seeb-trading-and-cont,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Al Toba Trading Co LLC,+968 24711977,,,mhd79@windowslive.com,Muttrah Al Kubra -,Hay Al Mina Jibroo,Oman,Al Toba Trading Co LLC,,0,2231,,https://oman.arablocal.com/business/view/al-toba-trading-co-llc,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Abu Fahad Al Ghareebi Trade,+968 25411273,,,,AL Himaya Nizwa -,Nizwa,Oman,Abu Fahad Al Ghareebi Trade,,0,2061,,https://oman.arablocal.com/business/view/abu-fahad-al-ghareebi-trade,,,,,
events,Oveation Establishment LLC,+968 24539542,,,dtcoman3@omantel.net.om,Al Mawalih - Behind bank Muscat Al Mawalah -,Ruwi,Oman,Oveation Establishment LLC,,,857,,https://oman.arablocal.com/business/view/oveation-establishment-llc,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Ahmed Al Yhmadi Trading,+968 24877388,,,ahmed-alyhmadi@hotmail.com,Al Amirat -,Hay Al Mina Jibroo,Oman,Ahmed Al Yhmadi Trading,,0,2038,,https://oman.arablocal.com/business/view/ahmed-al-yhmadi-trading,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Fun Garments And Accessories,+968 24713327,,,,Muttrah Al Kubra -,Ruwi,Oman,Fun Garments And Accessories,,0,1879,,https://oman.arablocal.com/business/view/fun-garments-and-accessories,,,,,
"apparel-wholesale-dealers,distributors-and-manufacturers",Abu Al Reem United LLC,+968 24421336,,,msh36y@yahoo.com,Suq Seeb Al Seeb -,Muscat,Oman,Abu Al Reem United LLC,,0,1863,,https://oman.arablocal.com/business/view/abu-al-reem-united-llc,,,,,
